id,url,suburb,state,postcode,short_address,full_address,property_type,price,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,listing_company_phone,auction_date,sold_date,description
136771338,https://www.realestate.com.au/sold/property-house-nsw-batemans+bay-136771338,Batemans Bay,NSW,2536,17/15 Crown Street,"17/15 Crown Street, Batemans Bay, NSW 2536",house,335000,2,1,1,,,-1.0,,PSMYSZ,Ray White - Batemans Bay,0244726565,,30 Jan 2022,"Single level villa set a short 500m stroll from the Batemans Bay CBD. Ideal for retirees wanting an easy level lifestyle or the investor with a tenant already in place. The villa features 2 bedrooms, open plan living, easy entry carport and reverse cycle air conditioning. The current tenant is on a month to month lease but would love to stay on.<br/>Call to book your inspection today.","[Lister(id='2675810', name='Aristotle Stavros', agent_id='519fc926-bff3-4069-be23-7038e1296a2c', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/aristotle-stavros-2675810?cid={cid}', phone=None, email=None)]"
135034126,https://www.realestate.com.au/sold/property-house-nsw-batemans+bay-135034126,Batemans Bay,NSW,2536,46-48 Orient Street,"46-48 Orient Street, Batemans Bay, NSW 2536",house,1170000,3,1,0,,,1303.0,m²,PSMYSZ,Ray White - Batemans Bay,0244726565,,07 Dec 2021,"Only minutes into the CBD, these 2 blocks can be turned into almost anything. <br/>The current home has 3 bedrooms, 1 bathroom and is in need of lots of love. <br/>Ideally located for retail, commercial or medium density residential (zoned R3), the opportunities are endless.<br/><br/>•  Rear property access via laneway.<br/>•  2nd storey would host amazing views over Batemans Bay.<br/>•  Dual driveways.<br/><br/>You will struggle to find a better location to develop your next project.<br/><br/>Council rates $3398.83 per annum","[Lister(id='2365286', name='Dawn Mason', agent_id='e72d9db0-2bda-4f70-bf1b-660275850b3d', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/dawn-mason-2365286?cid={cid}', phone=None, email=None), Lister(id='1041255', name='Steven Mason', agent_id='f8df509b-ba36-419d-a60e-46209e4fb2a1', job_title='Director and Licensee in charge.', url='https://www.realestate.com.au/agent/steven-mason-1041255?cid={cid}', phone=None, email=None)]"
137839578,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-batemans+bay-137839578,Batemans Bay,NSW,2536,2/65 Golf Links Drive,"2/65 Golf Links Drive, Batemans Bay, NSW 2536",duplex-semi-detached,861000,3,2,2,,,-1.0,,XRHBAU,Raine & Horne - Batemans Bay,0244726055,,19 Nov 2021,"AUCTION - On-Site - 11th December at 11 am. Price guide $800,000.<br/>2/65 Golf Links Drive, Batemans Bay.<br/>THE FEATURES YOU WILL LOVE:<br/>Architecturally designed, with coastal curves and packed with WOW. <br/>Exterior construction is a combination of brick, colourbond and beautiful timber.<br/>The property has two living areas, three bedrooms, two bathrooms, plus a garage and carport.<br/>Fully furnished, just bring your beach towel and golf clubs.<br/>Ideal as an Airbnb, permanent home or coastal retreat.<br/>Low maintenance fully fenced yard.<br/>YOUR LIFESTYLE/INVESTMENT LOCATION:<br/>Positioned only a few steps from the Catalina Country Club, a level easy walk to town, Corrigan's beach, and the break wall. <br/>THE DETAILS YOU WILL NEED:<br/>Lot: 2 Deposited Plan: 85223<br/>Lot size: 237 sq/metres<br/>Zoning: R3 Medium Density Residential<br/>Yearly Council Rates: $2,594.91<br/>Yearly Strata fees: $2,640.00<br/>Please contact me if you would like a copy of the contract and the building and pest inspection report.","[Lister(id='164346', name='Bronwyn Geppert', agent_id='2067a413-6c89-4182-aaf1-2afa079057af', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/bronwyn-geppert-164346?cid={cid}', phone=None, email=None), Lister(id='2708402', name='Bronte Morton', agent_id=None, job_title='Sales Associate', url='https://www.realestate.com.au/agent/bronte-morton-2708402?cid={cid}', phone=None, email=None)]"
137660086,https://www.realestate.com.au/sold/property-unit-nsw-batemans+bay-137660086,Batemans Bay,NSW,2536,1/9 South Street,"1/9 South Street, Batemans Bay, NSW 2536",unit,480000,2,1,1,,,-1.0,,XRHBAU,Raine & Horne - Batemans Bay,0244726055,,19 Nov 2021,"Unit 1 Allen Villas, 9 South Street, Batemans Bay.  <br/>AUCTION - 20th November 2021 - 11 am - On-site. Price guide: $480,000.<br/>The features you will love:<br/>The private location. The beautiful renovation throughout. Level living and Internal access from the lockup garage. <br/>The living area is spacious and the bedrooms are both queen-sized with built-in storage. <br/>Brick and tile construction, with a private fenced courtyard, perfect for your pooch.<br/>Your lifestyle location:<br/>Positioned in a very neat complex with facilities which include a swimming pool and half size tennis court.<br/>A stroll down the street to Batemans Bay CBD or the other direction to the commercial precinct.<br/>The details you will need: <br/>Lot 1 SP 21113 <br/>Zoning: R3 Medium Density Residential<br/>Yearly Council rates: $2,333.43<br/>Yearly strata rates:  $3,000 pa. <br/>Rental potential $350 to $360 per week.<br/>Currently rented by a family member at $300.00 per week until March 2022.<br/>Please contact me if you would like a copy of the contract, or a private inspection ","[Lister(id='164346', name='Bronwyn Geppert', agent_id='2067a413-6c89-4182-aaf1-2afa079057af', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/bronwyn-geppert-164346?cid={cid}', phone=None, email=None)]"
137184586,https://www.realestate.com.au/sold/property-house-nsw-batemans+bay-137184586,Batemans Bay,NSW,2536,16 Catlin Avenue,"16 Catlin Avenue, Batemans Bay, NSW 2536",house,680000,3,2,3,,,556.4,m²,XRHBAU,Raine & Horne - Batemans Bay,0244726055,,13 Nov 2021,"16 Catlin Avenue, Batemans Bay.  To be sold by Auction. Auction Date: 13 November at 12 PM.  Price guide: $650,000.  <br/>The features you will love:<br/>Designed and built along the lines of a Spanish Bungalow.<br/>It is a quirky home with loads of character.<br/>Brick and colour bond construction with a feature tile trim.<br/>Completely level, the property is on full town services and also has four water tanks and 24 solar panels. <br/><br/>Your lifestyle location:<br/>Known as Hanging Rock by the locals, this location is loved for its proximity to everything Batemans Bay has to offer.<br/>Positioned on the Eastern side of Beach Road and an easy stroll to the beach and golf course.<br/><br/>The details you will need: <br/>Lot: 48 Dp: 27236<br/>Land size: 556.4 <br/>Zoning: R3 Medium Density Residential<br/>Yearly Council Rates: $2,799.85<br/>Rental Potential:  $420.00 to $440.00 per week.<br/><br/>Please contact me if you would like a copy of the Contract, Pest and Building reports and details of the last Council inspection.","[Lister(id='164346', name='Bronwyn Geppert', agent_id='2067a413-6c89-4182-aaf1-2afa079057af', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/bronwyn-geppert-164346?cid={cid}', phone=None, email=None)]"
700155606,https://www.realestate.com.au/sold/property-lifestyle-nsw-batemans+bay-700155606,Batemans Bay,NSW,2536,1 Crown Street,"1 Crown Street, Batemans Bay, NSW 2536",lifestyle,560000,2,1,0,60,m²,0.6,ha,FOKPGL,Paul Pace Country - Double Bay,0416128177,,29 Oct 2021,Great,"[Lister(id='1398966', name='Paul Pace', agent_id=None, job_title='Director', url='https://www.realestate.com.au/agent/paul-pace-1398966?cid={cid}', phone=None, email=None), Lister(id='1824062', name='Bob Brookes', agent_id=None, job_title='Licensee In Charge', url='https://www.realestate.com.au/agent/bob-brookes-1824062?cid={cid}', phone=None, email=None)]"
136908686,https://www.realestate.com.au/sold/property-unit-nsw-batemans+bay-136908686,Batemans Bay,NSW,2536,8/40-46 Beach Road,"8/40-46 Beach Road, Batemans Bay, NSW 2536",unit,815000,3,2,1,,,-1.0,,XRHBAU,Raine & Horne - Batemans Bay,0244726055,,03 Sep 2021,"Having been the benchmark for developments in the Batemans Bay CBD, Portofino has continued to be a place where investors and owner-occupiers have desired to own.<br/><br/>The original developer owner of this prestigious development is releasing for sale this well presented, spacious apartment.<br/><br/>With north-facing, sunny, open plan living area, exceptional ever-changing views, modern kitchen, great ensuite and spacious, private deck.<br/><br/>All this with an easy, level walk into the heart of Batemans Bay shopping centre.<br/><br/>Buy now, move in or take advantage of the exceptional occupants who are leasing the property and move in later.<br/><br/>Call for a private inspection today. ","[Lister(id='16768', name='Adam Porteous', agent_id='678959d9-257d-43e4-b20b-af084b132e94', job_title='Director', url='https://www.realestate.com.au/agent/adam-porteous-16768?cid={cid}', phone=None, email=None), Lister(id='2708402', name='Bronte Morton', agent_id=None, job_title='Sales Associate', url='https://www.realestate.com.au/agent/bronte-morton-2708402?cid={cid}', phone=None, email=None)]"
136728606,https://www.realestate.com.au/sold/property-house-nsw-batemans+bay-136728606,Batemans Bay,NSW,2536,15 Marlin Avenue,"15 Marlin Avenue, Batemans Bay, NSW 2536",house,650000,3,1,1,110,m²,556.4,m²,XRHBAU,Raine & Horne - Batemans Bay,0244726055,,06 Aug 2021,"THE FEATURES YOU WILL LOVE:<br/>Positioned on a quiet seaside street, a favourite location for many locals and holidaymakers.<br/>Three bedroom brick and tile home with a sunny aspect and updated kitchen and bathroom.<br/>A generous covered entertainment deck along the back of the house.<br/>Single lock-up garage. <br/>YOUR LIFESTYLE LOCATION: <br/>An ideal seachange with the coast only metres to your east and the Golf course to the west. <br/>Within level walking distance to town, beach, sporting and education facilities.<br/>THE DETAILS YOU WILL NEED: <br/>Council Rates: $2,728.19 per annum.<br/>Zoning: R3 medium density residential. <br/>Land size: 556.4 square metres.<br/>Building size: 110 square metres, includes garage and deck. <br/>Potential Rental:  $420.00 to $430.00 per week.<br/>Building and Pest Inspection reports available.","[Lister(id='164346', name='Bronwyn Geppert', agent_id='2067a413-6c89-4182-aaf1-2afa079057af', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/bronwyn-geppert-164346?cid={cid}', phone=None, email=None)]"
136369090,https://www.realestate.com.au/sold/property-house-nsw-batemans+bay-136369090,Batemans Bay,NSW,2536,2/21A Bavarde Avenue,"2/21A Bavarde Avenue, Batemans Bay, NSW 2536",house,938000,3,2,2,,,560.0,m²,QPUQBS,My Agent Team - BATEMANS BAY,0409719158,,13 Jul 2021,"Unquestionably one of the best placed, north-facing properties in the Bay.<br/><br/>Uninterrupted views over the Catalina Golf Course and out to the skyline and beyond. Large windows and doors throughout allow for full enjoyment of the breathtaking views.<br/><br/>Opportunities to own a property in this position are extremely rare. <br/><br/>Some standout features of this home include:<br/><br/>+ North facing aspect filled with natural light <br/>+ Sprawling master suite, ensuite with bath and extensive wardrobe space<br/>+ Expansive, open plan living and dining areas join seamlessly with balcony area<br/>+ Impressive kitchen featuring quality appliances<br/>+ Spacious bedrooms with built-in wardrobes<br/>+ Second bathroom perfectly positioned to service bedrooms 2 + 3 and guests<br/>+ Deck off the laundry<br/>+ 2 car garage with internal access<br/>+ A short distance to the CBD, shops, restaurants and cafes<br/><br/>Private inspections only and fact sheet available upon request. <br/>","[Lister(id='2316006', name='Megan Goucher', agent_id=None, job_title='Sales Associate', url='https://www.realestate.com.au/agent/megan-goucher-2316006?cid={cid}', phone=None, email=None), Lister(id='2315994', name='Christine Ewin', agent_id=None, job_title='Managing Director', url='https://www.realestate.com.au/agent/christine-ewin-2315994?cid={cid}', phone=None, email=None)]"
136445514,https://www.realestate.com.au/sold/property-apartment-nsw-batemans+bay-136445514,Batemans Bay,NSW,2536,10/30 Golf Links Drive,"10/30 Golf Links Drive, Batemans Bay, NSW 2536",apartment,825000,3,2,2,,,202.0,m²,QPUQBS,My Agent Team - BATEMANS BAY,0409719158,,09 Jul 2021,"UNDER OFFER: This property is currently under offer. If you would like to register your interest for similar properties, please contact Megan on 0410 582 875.<br/><br/>Relax on the terrace or from your master bedroom, overlooking the manicured fairways of Catalina Golf Course. Why pay for golf cart storage at the club, when you can keep your cart in a secure garage with Golf Course entry via a private gate. <br/><br/>To complete the package of this executive residence, there are water views out over the marina and just a 3 min walk to JJS's restaurant.<br/><br/>Set on level one, this apartment has been extensively customised to suit the fussiest of buyers. It offers a high-end, light-filled, and spacious living area, with an ever-changing outlook. <br/><br/>The well-designed, open-plan layout creates a seamless transition of indoor/outdoor living with large windows opening to a terrace, adding to the ease of entertaining. <br/>40mm stone benchtops complement crisp white cabinetry, of which there are plenty. The quality fittings and fixtures boast premium appliances including dual smeg ovens with induction stovetop, dishwasher, and plumbed water to the refrigerator.<br/><br/>The expansive master bedroom enjoys exquisite golf course views, with direct access to the tiled terrace.<br/><br/>Adding to the quality accommodation, the second and third bedroom contains sizable built-in cupboards and sit within close proximity of the main bathroom with seperate loo, and underfloor heating in both bathrooms. <br/><br/>The sun-soaked terrace will be the envy of all who are lucky enough to be invited over for a glass of wine. The terrace is split into 3 areas and spans the length of the apartment, offering an abundance of space to host Sunday drinks.<br/><br/>Simply move in now and enjoy holidays or retirement. For the avid golfer, a key with direct golf access can be arranged. <br/><br/>Fact sheet available upon request ","[Lister(id='2316006', name='Megan Goucher', agent_id=None, job_title='Sales Associate', url='https://www.realestate.com.au/agent/megan-goucher-2316006?cid={cid}', phone=None, email=None)]"
134302170,https://www.realestate.com.au/sold/property-unit-nsw-batemans+bay-134302170,Batemans Bay,NSW,2536,6/33-35 Clyde Street,"6/33-35 Clyde Street, Batemans Bay, NSW 2536",unit,525000,3,2,2,,,-1.0,,PSMYSZ,Ray White - Batemans Bay,0244726565,,01 Jul 2021,"Anyone will tell you that when you buy real estate, whether it be residential or commercial, nothing is more important than location and it doesn't get any better than this!<br/>- Only a short 100m walk to the CBD. <br/>- The complex boasts a jetty straight off the complex back yard.<br/>- The living/dining area and kitchen located on the first floor, perfect to entertain family or friends.<br/>- Large private deck with Clyde river glimpses.<br/>- Main bedroom with ensuite.<br/>- There is a shared pool in the complex, perfect for lazy summer days.<br/>- Double lock-up garage and laundry on the ground floor.<br/>Rarely do you find a property of this quality, capitalising on this fantastic position. Call now to secure your own piece of paradise!","[Lister(id='1041255', name='Steven Mason', agent_id='f8df509b-ba36-419d-a60e-46209e4fb2a1', job_title='Director and Licensee in charge.', url='https://www.realestate.com.au/agent/steven-mason-1041255?cid={cid}', phone=None, email=None)]"
135481082,https://www.realestate.com.au/sold/property-house-nsw-batemans+bay-135481082,Batemans Bay,NSW,2536,38 Beach Road,"38 Beach Road, Batemans Bay, NSW 2536",house,600000,2,1,1,,,518.5,m²,XRHBAU,Raine & Horne - Batemans Bay,0244726055,,09 Jun 2021,"This property offers a promising nest egg, to live in now, rent it out and develop it in years to come. A level 518 square metre block with quality developments either side and much more underway along the strip. Beach Road is to Batemans Bay what the Esplanade is to the Gold Coast.  A fabulous location only metres from our town centre and opposite the beautiful Clyde River.<br/>Views and aspect, proximity to restaurants and cafes and a coastal lifestyle are all for the taking.<br/>Please let me know if you would like to organise a private inspection and receive a copy of the development control plan for Batemans Bay.<br/>","[Lister(id='164346', name='Bronwyn Geppert', agent_id='2067a413-6c89-4182-aaf1-2afa079057af', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/bronwyn-geppert-164346?cid={cid}', phone=None, email=None)]"
