id,url,suburb,state,postcode,short_address,full_address,property_type,price,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,listing_company_phone,auction_date,sold_date,description
203182558,https://www.realestate.com.au/sold/property-residential+land-nsw-mossy+point-203182558,Mossy Point,NSW,2537,25A Pacific Street,"25A Pacific Street, Mossy Point, NSW 2537",residential-land,585000,,,,,,593.0,m²,PSMYSZ,Ray White - Batemans Bay,0244726565,,30 Jan 2022,"This 593m2 battleaxe block of land offers you the opportunity of living in prestigious Mossy Point. It's private, has some pretty shade trees and some lovely neighbouring homes whilst being a very short stroll to the Mossy Point Reserve and the Mossy Cafe. This is one of the last vacant blocks in the suburb so don't hesitate. Please ring for a private inspection.","[Lister(id='1535142', name='Melissa Williams', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/melissa-williams-1535142?cid={cid}', phone=None, email=None), Lister(id='1532962', name='Drew Deck', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/drew-deck-1532962?cid={cid}', phone=None, email=None)]"
138104510,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-138104510,Mossy Point,NSW,2537,201 Annetts Parade,"201 Annetts Parade, Mossy Point, NSW 2537",house,3350000,3,4,2,,,765.0,m²,PSMYSZ,Ray White - Batemans Bay,0244726565,,20 Jan 2022,"This incredible home was built to last and has many outstanding features to take full advantage of the beautiful views over the Mossy Point Reserve, the Tomakin Rivermouth, Burri Point and the ocean. The lounge/living/dining area is open plan so that there is a wonderful sense of space with the natural lighting and very high ceiling. The kitchen is in very good order and does not need renovating. The bedrooms are all comfortable and roomy. The gardens are very pretty and provide extra privacy. This home also features a downstairs rumpus room and extra bathroom which is ideal for teenagers and their need for privacy. There is also extra storage space downstairs. This is a very neat and tidy home with one of the best locations in Mossy Point. The vendors will listen to offers before auction so be quick to book a private inspection.","[Lister(id='1535142', name='Melissa Williams', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/melissa-williams-1535142?cid={cid}', phone=None, email=None), Lister(id='1532962', name='Drew Deck', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/drew-deck-1532962?cid={cid}', phone=None, email=None)]"
138121402,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-138121402,Mossy Point,NSW,2537,15 River Road,"15 River Road, Mossy Point, NSW 2537",house,975000,4,2,2,,,834.7,m²,PSMYSZ,Ray White - Batemans Bay,0244726565,,23 Dec 2021,"Set on over 830m2 of land is this established home with lots of privacy and gorgeous gardens. Features include easy care palazzo tiles on the main living area and hallway, reverse cycle air conditioning, large kitchen with good sized dining area, large front deck for lazy afternoons and BBQ's, sizeable undercover back patio with a water feature, a single garage plus a carport  and storage space plus a man cave. The gardens are very productive and strawberry lovers will find it very tasteful. Priced to sell, this home will not last long in this current market so be early to book for a private inspection.","[Lister(id='1535142', name='Melissa Williams', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/melissa-williams-1535142?cid={cid}', phone=None, email=None), Lister(id='1532962', name='Drew Deck', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/drew-deck-1532962?cid={cid}', phone=None, email=None)]"
137721682,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-137721682,Mossy Point,NSW,2537,7 Hilmer Avenue,"7 Hilmer Avenue, Mossy Point, NSW 2537",house,885000,3,1,1,,,835.0,m²,XFNBAU,Batemans Bay First National - Batemans Bay,0244725566,,25 Nov 2021,"Full of retro charm, this classic family beach house is set in one of our region's prime locations, on a quiet street and an easy stroll to one of the most beautiful river mouths of the South Coast and beaches alike. This property has been well-loved and maintained over the years and has much to offer its new owner.<br/><br/>The spacious living area, filled with natural light flows into the kitchen. Three large bedrooms with space for wardrobes. There's a single bathroom with separate toilet. An undercover carport is at the back door with garden shed and fully fenced flat yard. The home is classically built with genuine cypress pine timber floorboards throughout, under the original carpet. This property presents many opportunities such as renovating, knock down & rebuild and sub-divide or duplex for the investor (STCA). Adding another storey to this home may have the potential of filtered water views.<br/><br/>Purchasing property in Mossy Point, you are buying into a coastal lifestyle others will aspire to. With the Mossy Cafe and boat ramp just down the road your weekends are sorted with this low maintenance beach house you can set and forget. The perfect setting for a weekend getaway or family home for those looking to slow down and live in this magnificent location.<br/><br/><br/>Only a 15 minute drive to Batemans Bay, Tomakin shops just up the road and there are so many beaches to choose from. You will never tire of exploring this part of the South Coast. Local schools, child-care facilities, chemist, medical centre and more, are all less than 5 minutes away in Broulee. It’s just over 2 hours to Canberra or 3.5 hours to Sydney.","[Lister(id='2542530', name='Emilie Beckett', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/emilie-beckett-2542530?cid={cid}', phone=None, email=None)]"
137598798,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-137598798,Mossy Point,NSW,2537,249 Annetts Parade,"249 Annetts Parade, Mossy Point, NSW 2537",house,1400000,4,3,2,,,1088.0,m²,QPUQBS,My Agent Team - BATEMANS BAY,0409719158,,16 Nov 2021,"In a lush private setting this unique family property with guest suite is available and could be all yours in time for Christmas.<br/><br/>The home is large and full of natural light with a free flowing layout and tastefully updated with a fresh modern feel. With good sized bedrooms and 2 separate living spaces, the kitchen is set in the centre of the home offering a fantastic sunny outlook to the tidal mangroves on the river. <br/><br/>The home offers generous bedrooms and the master room includes a WIR and ensuite with doors to the deck. The 4th bedroom could easily be a guest suite with its own separate entry and offering privacy with their own studio space, deck, ensuite and basic kitchenette. Ideal for air-bnb or additional guests at xmas. <br/><br/>Set on a large and private 1087sqm block, the home has an oversize garage and under home storage. This is the perfect place to kick back, relax and enjoy nature along with our wonderful coastal lifestyle. <br/><br/>For more information about the home, there is a comprehensive factsheet available upon request. ","[Lister(id='2316006', name='Megan Goucher', agent_id=None, job_title='Sales Associate', url='https://www.realestate.com.au/agent/megan-goucher-2316006?cid={cid}', phone=None, email=None), Lister(id='2812986', name='Clarinda Campbell', agent_id=None, job_title=None, url='https://www.realestate.com.au/agent/clarinda-campbell-2812986?cid={cid}', phone=None, email=None)]"
137557978,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-137557978,Mossy Point,NSW,2537,135 Annetts Parade,"135 Annetts Parade, Mossy Point, NSW 2537",house,3260000,4,3,1,,,993.0,m²,QPUQBS,My Agent Team - BATEMANS BAY,0409719158,,13 Nov 2021,"Introducing the property you have waited your entire life for. This cliff-top stunner on one of the most exclusive streets on the South Coast represents a remarkably rare offering to the market and an opportunity that simply can not be missed.<br/><br/>Homes on Annetts Parade in Mossy Point have long been regarded among the most tightly held and highly coveted coastal addresses in the region and number 135 is the absolute pinnacle.<br/><br/>Breathtaking panoramic views towards Guerilla Bay, Broulee Island and the vast expanse of deep blue ocean in between greet you as you gaze out the back windows and across the lush green lawn towards the horizon beyond. <br/><br/>The four-bedroom, three-bathroom residence is thoughtfully positioned to maximise this truly unique parcel of land. Soaring vaulted ceilings in the main living areas and timber paneling give this home a quintessential coastal retreat feel<br/><br/>Established gardens have been lovingly cared for and maintained on the street side of the property leaving the ocean side open, largely untouched and genuinely respectful of the stunning contours of the land itself<br/><br/>There is arguably no better vantage point on the entire east coast of Australia to drink in a majestic sunrise over sea. Those who have experienced the phenomenal sight of a Mossy Point sunrise set to the soundtrack of waves crashing on the rocks below know how truly special a feeling it is.<br/><br/>An opportunity like this is as rare as they come on the South Coast so be bold, book a time to experience the unique property and location for yourself and find out how you can secure this spectacular ocean vista to enjoy for years to come.<br/><br/>Auction Online Saturday 13th November 1pm. This property won't be sold prior to Auction","[Lister(id='2735310', name='Kate Quinlivan', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/kate-quinlivan-2735310?cid={cid}', phone=None, email=None), Lister(id='2812986', name='Clarinda Campbell', agent_id=None, job_title=None, url='https://www.realestate.com.au/agent/clarinda-campbell-2812986?cid={cid}', phone=None, email=None)]"
203058918,https://www.realestate.com.au/sold/property-residential+land-nsw-mossy+point-203058918,Mossy Point,NSW,2537,37-39 Connells Close,"37-39 Connells Close, Mossy Point, NSW 2537",residential-land,335000,,,,,,1669.0,m²,PSMYSZ,Ray White - Batemans Bay,0244726565,,27 Jul 2021,Situated only 300 metres from the Tomaga River these 2 blocks are being sold together with a combined land total of 1669m2. Zoned E4 only one dwelling is permitted on the combined blocks. Being a wetland only 40% of the block can be cleared and filled. Blocks 33-35 have had work carried out according to council's guidelines for a new construction. Although currently a wetland there is scope to build while staying within the E4 council guidelines.,"[Lister(id='1535142', name='Melissa Williams', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/melissa-williams-1535142?cid={cid}', phone=None, email=None), Lister(id='1532962', name='Drew Deck', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/drew-deck-1532962?cid={cid}', phone=None, email=None)]"
135851942,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-135851942,Mossy Point,NSW,2537,219 Annetts Parade,"219 Annetts Parade, Mossy Point, NSW 2537",house,1300000,3,2,5,,,699.5,m²,PSMYSZ,Ray White - Batemans Bay,0244726565,,04 Jun 2021,"Bordering on the Mossy Point Reserve this solidly built family home has a lot to offer in terms of potential, location and views. With a loungeroom and master bedroom looking directly onto the reserve you will really enjoy the benefits of the water views, quiet location and access to the river for canoes and small boats. The home itself features 2 lounge areas, a very large dining room off the kitchen, a wood burning fireplace in the sunroom, a huge double garage plus storage as well as a very large double carport and a separate single carport with space for a small boat or caravan. The property is fully fenced so that it is child and pet friendly.<br/>Please book for an inspection","[Lister(id='1535142', name='Melissa Williams', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/melissa-williams-1535142?cid={cid}', phone=None, email=None), Lister(id='1532962', name='Drew Deck', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/drew-deck-1532962?cid={cid}', phone=None, email=None)]"
135854310,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-135854310,Mossy Point,NSW,2537,4 River Link Road,"4 River Link Road, Mossy Point, NSW 2537",house,1100000,4,2,2,,,0.5,ha,PSMYSZ,Ray White - Batemans Bay,0244726565,,31 May 2021,"This home oozes serenity and calm and will be greatly appreciated by the purchasers who value their privacy and creature comforts. The kitchen, dining and lounge rooms are really pretty and all have lovely outlooks. There is a separate wing for the master bedroom, ensuite and office and the remaining bedrooms are at the other end of the home. Entertaining is a breeze with the fully covered BBQ area and there is so much space for all of the family to comfortably enjoy themselves. There is the potential for a swimming pool, extra garaging plus space for a boat and a caravan. This is a wonderful home and needs to be seen to be appreciated. Please call for an appointment.","[Lister(id='1532962', name='Drew Deck', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/drew-deck-1532962?cid={cid}', phone=None, email=None), Lister(id='1535142', name='Melissa Williams', agent_id=None, job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/melissa-williams-1535142?cid={cid}', phone=None, email=None)]"
134577250,https://www.realestate.com.au/sold/property-house-nsw-mossy+point-134577250,Mossy Point,NSW,2537,249 Annetts Parade,"249 Annetts Parade, Mossy Point, NSW 2537",house,910000,4,3,2,234,m²,1087.47,m²,XRHBAU,Raine & Horne - Batemans Bay,0244726055,,14 Nov 2020,"This house breathes coastal living, the private access road at the end of Annetts Parade leads to a life where it feels like every day is a holiday.<br/>The flawless design has floor to ceiling glass on the northern side to capture the year-round sun and warmth, with beautiful views over the back lawn to the river's mangrove garden.  Birds song and chatter abound along with the ebb and flow of the gentle tide.<br/>The essence of the design is open plan, the kitchen being the central hub separating spheres which allow a family to enjoy combined and separate living.<br/>Four bedrooms, the master and guest retreat both have ensuites with bedroom two and three sharing a private wing of the house plus the third bathroom.<br/>Oversized double garage, under house storage garden courtyard and expansive entertainment decks ........ come and see all I have forgotten to mention.<br/>Auction will be held on Saturday 14th November 2020 at 10am On-Site<br/>Price guide: $900,000","[Lister(id='164346', name='Bronwyn Geppert', agent_id='2067a413-6c89-4182-aaf1-2afa079057af', job_title='Licensed Real Estate Agent', url='https://www.realestate.com.au/agent/bronwyn-geppert-164346?cid={cid}', phone=None, email=None)]"
