id,url,suburb,state,postcode,short_address,full_address,property_type,price,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,listing_company_phone,auction_date,sold_date,description
138301622,https://www.realestate.com.au/sold/property-unit-act-braddon-138301622,Braddon,ACT,2612,6/38 Torrens Street,"6/38 Torrens Street, Braddon, ACT 2612",unit,538000,2,1,1,84,m²,-1.0,,OANXWT,Independent Our Team - TURNER,0262091723,,04 Feb 2022,"Stumbled across this charming Braddon apartment? Well stop right here because you're in luck! Opportunities like 6/38 Torrens St don't come around often.  <br/><br/>Currently rented at $500/week till January 2023 this property will make a great investment given the strong rental yield and popularity for this funky, inner City locale. <br/><br/>This neat and tidy 2 bedroom apartment offers incredible value for both its size and location. This lovely property is merely a short walk away from the Canberra Centre and Canberra's famous Lonsdale Street. You'll need amazing self-control to keep away from the very best eateries in the inner north!  <br/><br/>This rare find represents one of the best value opportunities to buy into this sought after area. <br/><br/>To get a copy of the digital brochure containing an explanation of our friendly sales campaign and the full contract, please send us an email and note your full name and best contact phone number and it will be automatically sent to you immediately.<br/><br/>Buyers Will Love <br/>- Low body corporate levies, see all figures below. <br/>- Low maintenance development with no big expenses like lifts or pools.  <br/>- NBN – FTTN. <br/>- Development includes a kid's playground and bike storage. <br/>- One basement car space. <br/>- Pets welcome. Subject to body corporate notification.  <br/><br/><br/>The Apartment <br/>- North Facing, situated away from all roads for added privacy. <br/>- Elevated first floor location with established trees in front. <br/>-Fully covered balcony with storage enclosure. <br/>- Split system reverse cycle air conditioning heating and cooling. <br/>- Intercom access. <br/>- Large kitchen with oven, rangehood, dishwasher and a new cooktop. <br/>- 2 bedrooms each with built in robes. <br/>- Big bathroom with large corner bath/shower. <br/><br/>The Numbers:  <br/>- Living: 84m2 plus 19m2 balcony <br/>- Age: 27 years. Built 1995 <br/>- Strata levies: $3,031 p.a. <br/>- Rented at $500/week till 01/01/23 <br/>- General rates: $2,277 p.a. <br/>- Water & sewerage rates: $667 p.a  <br/>- Land tax (investors only): $2,699 p.a. <br/>- EER: 6 stars <br/>- Units plan 1428 with 85 units, managed by CIVIUM <br/>- Total admin and sinking fund balance: $135,886 <br/><br/>The Offer Process: <br/>- To help buyers on value, we advertise a guide price which your offer must exceed.  <br/>- Offers can be subject to finance or unconditional (preferred). <br/>- Offers are confidential & will not disclosed to other buyers for privacy purposes.  <br/>- A 5% deposit is acceptable via eft just prior to exchange of contracts. <br/>- We have a solicitor pre-allocated to provide a FREE contract review and section 17 if required.  ","[Lister(id='2642498', name='Mark Larmer And Aaron Lewis', agent_id='8dfd01a4-e694-4ed1-ac1f-f5b475c3f3a4', job_title='Licensed Agent, Auctioneer & Senior Sales Consultant', url='https://www.realestate.com.au/agent/mark-larmer-and-aaron-lewis-2642498?cid={cid}', phone=None, email=None)]"
138258686,https://www.realestate.com.au/sold/property-unit-act-braddon-138258686,Braddon,ACT,2612,14/11 Fawkner Street,"14/11 Fawkner Street, Braddon, ACT 2612",unit,808000,3,2,2,,,-1.0,,OANXWT,Independent Our Team - TURNER,0262091723,,03 Feb 2022,"Buyers guide price: From $700,000 <br/><br/>When it's location and comfort that matters most, you won't find much better than this three-bedroom, top floor, multi-level apartment in the popular Fullerton complex. Superbly located, you'll enjoy convenient access to the City as well as the vibrant lifestyle Braddon with shopping, restaurants, cafes, and public transport only a stone's throw away.   <br/><br/>Occupying the top two levels of the complex, this well-presented apartment offers a huge 133m2 of peaceful living. Upon entry you'll be impressed by open plan living which includes a spacious lounge and dining area with sliding door access to a covered balcony where you can kick back after a hard day's work. The kitchen area has everything you need including stone benchtops, integrated dishwasher, 600mm stainless steel oven with 4-burner electric cooktop and a new rangehood. There's ample bench area and storage so you'll never want for space, as well as extra storage under the stairs to keep things out of sight. A separate laundry room integrated with the bathroom offers a  toilet, vanity, laundry tub and dryer to complete this level. <br/><br/>Heading upstairs with its new carpet underfoot, you'll find three bedrooms. The huge main bedroom is where you'll be particularly spoiled for space and includes a walk-in robe with adjustable shelving, reverse cycling split system unit, and an ensuite complete with corner spa with shower over, vanity and toilet. Bedroom two offers a double door robe, while bedroom three includes a robe as well as a reverse cycle split system air conditioning. The main bathroom is complete with a large shower, vanity, and toilet. The landing atop the stairs even lends itself perfectly to a study nook or home office set up. <br/><br/>You'll appreciate the use of the communal amenities that come with life at The Fullerton, including the inground swimming pool and well-maintained gardens. Even though you may not need your vehicles as much this unit has two side-by side allocated parking spaces in the basement. Vacant and available for immediate occupation if you are looking to move fast we can accommodate your needs but are also happy to offer flexible settlement options if you need a little more time to finalise finances.  <br/><br/> The Apartment: <br/>-Spacious internal living spaces with living downstairs and all bedrooms upstairs  <br/>-Situated on the top 2 floors of the development, (levels 3 and 4) facing South <br/>-New LED downlighting throughout <br/>-New carpets upstairs <br/>-Kitchen has stone benchtops, dishwasher, electric oven and cooktop and new rangehood plus ample cupboard space <br/>-Generous main bedroom with walk in robe, bedrooms 2 & 3 have built-in robes <br/>-Two full sized bathrooms plus laundry has an additional powder room with toilet and vanity <br/>-Reverse cycle air conditioning units in living area and two of the bedrooms <br/>-Voice intercom access for guests <br/>-Under stair storage <br/>-Two allocated car spaces side by side in the basement carpark <br/>-Pet friendly complex (subject to body corporate notification) <br/>-Vacant possession (not subject to any tenancy) <br/>-Flexible settlement options if you have another property you want, or need, to sell <br/><br/>The Complex: <br/>-Well maintained common areas including inground pool and gardens <br/>-Visitor parking <br/>-Active and community minded body corporate <br/>-Fantastic location close to shopping, restaurants, nightlife, ANU and public transport <br/>-4 storey building with basement parking <br/><br/>The Numbers (approx): <br/>- Living area: 133m2 <br/>- Balcony: 8m2  <br/>- Age: 25 yrs (built 1996) <br/>- General rates: $2,537 p.a. <br/>- Water rates: $742 p.a. <br/>- Land tax (investors only): $3,040 p.a. <br/>- Strata levies: $4,532 p.a. <br/>- Conservative rental estimate (unfurnished): $690/wk  <br/>- EER (Energy Efficiency Rating):  6 stars <br/>- Name of development: The Fullerton <br/>- Number of units in development: 71 <br/>- Strata manager and contact number: Independent Strata - 62091515 <br/>- Units plan number: 1532 <br/>- Admin fund balance for development as of 17/12/2021: $74,972 <br/>- Sinking fund balance for development as of 17/12/2021: $172,410 <br/><br/>To help buyers, we offer the following as part of our Friendly Auction System: <br/>- Written and verbal buyer price guides, which are updated throughout the campaign. <br/>- A digital brochure with everything to consider a purchase, including the full contract and bidding strategy video (request this by email). <br/>- We refer a solicitor who can review the contract prior to auction for FREE. <br/>- Same solicitor can provide a FREE Section 17 Certificate to waiver your cooling off if you want to submit a pre-auction offer.  <br/>- Pre-auction bidding strategy meeting with auctioneer to discuss the process and establish your game-plan <br/><br/>To get a copy of the digital brochure containing an explanation of our friendly sales campaign and the full contract, please send us an email and note your full name and best contact phone number and it will be automatically sent to you immediately. ","[Lister(id='2642498', name='Mark Larmer And Aaron Lewis', agent_id='8dfd01a4-e694-4ed1-ac1f-f5b475c3f3a4', job_title='Licensed Agent, Auctioneer & Senior Sales Consultant', url='https://www.realestate.com.au/agent/mark-larmer-and-aaron-lewis-2642498?cid={cid}', phone=None, email=None)]"
138226234,https://www.realestate.com.au/sold/property-unit-act-braddon-138226234,Braddon,ACT,2612,26/38 Torrens Street,"26/38 Torrens Street, Braddon, ACT 2612",unit,462000,1,1,1,,,-1.0,,SENSYY,Independent - Inner North & City,0262094000,,31 Jan 2022,"With a generous design & open living this 1-bedroom apartment is a must have. With the most popular street in Braddon only an arm's length away, Lonsdale Street offers an array of shopping, dining, & entertainment, whilst being in the leafy & tranquil street of Torrens & one of Inner North's more desirable locations.<br/><br/>Offered with vacant possession, freshly painted throughout & new carpet, this 56m2 home presents beautifully & it's timeless finish will never become outdated.  This apartment comfortably provides enough storage & living space for 2 people with no compromise. The open plan living & dining area opens out to a north facing aspect. The larger than normal living area comfortably accommodates both a dining table & lounge setting – something which is harder to find than you think!<br/><br/>The large 12m2 balcony offers a quiet and scenic garden outlook & adds a special difference to this quiet & desirable home in the middle of Braddon.<br/>The kitchen is spacious & complemented with good bench space, plenty of storage & a pantry.<br/><br/>The residence has the added feature of a well-designed walk-in robe, leading into the bathroom & laundry fitted with a washing machine and a dryer. For privacy, the doors can be closed & access can also be gained through the hallway. <br/><br/>There are only 85 apartments at the beautiful Braddon Gardens complex, with central green areas for the resident's enjoyment.  Braddon Gardens was built in the mid 1990's & is a rare low-rise complex, that are not easy to come by these days. <br/><br/>Inside 26/38 Torrens st:<br/>- Single level design<br/>-  Carpet to living & bedroom, tiles to bathroom & kitchen area<br/>- 56m2 of indoor space<br/>- Open plan living & dining<br/>- Walk-in robe<br/>- Freshly painted <br/>- Large bedroom<br/>- Intercom <br/>- New carpet<br/><br/>A few extra features:<br/>- Reverse cycle air conditioning<br/>- High-quality window furnishings<br/>- Excellent energy efficiency rating of 6 stars<br/>- North facing<br/>- Single basement car space<br/>- NBN connected<br/>- Pet friendly<br/><br/>Outside:<br/>- Generous 12m2 balcony <br/>-  Beautifully maintained green space<br/>- Only 85 apartments in the building with no swimming pools, gymnasium or sauna or elevators for lower body corporate fees<br/>- Located near some of Canberra's best drinking & dining options on Lonsdale street<br/><br/><br/>Quick numbers:<br/>- 56m² of living<br/>- 12m² balcony<br/>- EER: 6<br/>- Single level apartment <br/>- Single car space<br/>- General rates: $2,046.69 p.a.<br/>- Land tax (investors only): $2,409.98 p.a.<br/>- Body corporate fees: $2,273.16 p.a.<br/>- Rental estimate: $460-$480 per week <br/>","[Lister(id='2747446', name='Justin Kavanagh', agent_id='b96ca27b-3a54-41f9-a14f-5a9b8e31dcc2', job_title='Sales Consultant', url='https://www.realestate.com.au/agent/justin-kavanagh-2747446?cid={cid}', phone=None, email=None)]"
138175578,https://www.realestate.com.au/sold/property-townhouse-act-braddon-138175578,Braddon,ACT,2612,15/10 Ijong Street,"15/10 Ijong Street, Braddon, ACT 2612",townhouse,1060000,3,2,2,147,m²,-1.0,,QDUETP,Ray White - Canberra,0261736300,,28 Jan 2022,"Tucked away with absolute privacy at the rear of the complex you will find this generously proportioned three bedroom townhouse. Featuring not one but two courtyards, the property is flooded with natural light in both living areas all year round. The heart of the home is the galley style kitchen with stone benchtops, gas cooktop and ample storage. <br/><br/>On the first floor you will find the oversized master bedroom with walk-in-robe and ensuite and two additional bedrooms with built-in-robes. Additional features include a large laundry, downstairs powder room and two secure parking spaces.<br/><br/>Currently rented until 14/01/2022 for $720 per week.<br/><br/>Auction - Virtual <br/>Please go to https://raywhitecanberra.com.au/watch-our-auctions-live to watch the auction <br/><br/>Features:<br/>• Open plan living, kitchen and dining area<br/>• Ducted gas heating & two reverse cycle air conditioners<br/>• Gas cooktop, electric oven<br/>• Front and rear courtyards<br/>• Oversized master bedroom with ensuite and WIR<br/>• Full sized laundry with powder room<br/>• Two secure parking spaces<br/><br/>Stats:<br/>• Living: 147sqm<br/>• Front Courtyard: 13sqm<br/>• Rear Courtyard: 42sqm<br/>• Build: 2002<br/>• EER: 4<br/>• Rates: $2,972.04pa<br/>• Land Tax: $3,807.25pa<br/>• Body Corp: $5,914.80pa<br/><br/>Disclaimer: All information regarding this property is from sources we believe to be accurate, however we cannot guarantee its accuracy. Interested persons should make and rely on their own enquiries in relation to inclusions, figures, measurements, dimensions, layout, furniture and descriptions.","[Lister(id='2252942', name='Samuel Fitzsimmons', agent_id=None, job_title='Sales Consultant', url='https://www.realestate.com.au/agent/samuel-fitzsimmons-2252942?cid={cid}', phone=None, email=None)]"
138242474,https://www.realestate.com.au/sold/property-apartment-act-braddon-138242474,Braddon,ACT,2612,506/16 Lonsdale Street,"506/16 Lonsdale Street, Braddon, ACT 2612",apartment,845000,2,2,2,98,m²,-1.0,,HXTZXT,Carter and Co Agents - Braddon,0261763443,,28 Jan 2022,"The Features You Want To Know!<br/><br/>+ Wonderful 2-bedroom 2- bathroom east facing apartment  <br/>+ Views to Mount Ainslie<br/>+ Designer kitchen with ample storage<br/>+ 20mm Stone benchtops <br/>+ 4 burner Smeg gas cooktop <br/>+ 600mm Smeg oven  <br/>+ Freestanding dishwasher<br/>+ Soft close cabinetry <br/>+ Ceramic sink <br/>+ Open plan kitchen, living and dining <br/>+ 2 East facing balconies with beautiful outlook<br/>+ Engineered timber flooring throughout <br/>+ Two generously proportioned bedrooms with built in robes<br/>+ Master bedroom with ensuite <br/>+ Floor to ceiling tiling in bathrooms <br/>+ Designer matte black and rose gold fixtures and fittings<br/>+ Sizeable European laundry with ample storage <br/>+ LED lights<br/>+ Split system heating and cooling <br/>+ Secure 2 car accommodation <br/><br/><br/>Why You Want To Live Here!<br/><br/>This is an incredible opportunity to own a truly special 2-bedroom, 2-bathroom apartment in Lonsdale Streets newest stand out development, BRANX. This Incredible development provides a lifestyle like no other. Located in the vibrant Braddon precinct, close to eateries, bars and entertainment you are afforded all the luxuries that city living has to offer. Modern and contemporary this apartment presents an astounding opportunity for the first home buyers, downsizers, and investors alike. <br/><br/>Located on level 5, this floorplan has been carefully designed to ensure functionality and flow. This apartment presents an incredible designer kitchen overlooking the adjacent living and dining areas. The designer kitchen features stone bench tops, Smeg appliances, designer ceramic sink and ample pantry and bench space.  A seamless connection between the indoor and outdoor entertaining areas is achieved with ease, with full height sliding doors leading from the living area to a lovely east facing balcony. <br/><br/>Segregated from the living areas of the home you find the two sizeable bedrooms, both featuring built-in-robes and the master bedroom with an ensuite. Both bathrooms showcase feature floor-to-ceiling tiling, custom vanities, and luxury matte black and rose gold tapware. <br/><br/>With an easterly aspect, private and with lovely views to Mount Ainslie this is an incredible opportunity not to be missed. Perfectly positioned this apartment is within proximity to all the great amenities the Canberra CBD has to offer.<br/><br/>The Stats You Need To Know!<br/><br/>Block: 19	<br/>Section: 29<br/>EER: 6 stars<br/>Internal Living: 84m2 (approx.)<br/>Balconies: 14m2 (approx.)<br/>Strata: $2,549 per annum (approx.)<br/>Rental Appraisal: TBC<br/>Heating and Cooling: Split system heating and cooling <br/>Car: 2 secure car spaces","[Lister(id='2525182', name='Nik Brozinic', agent_id=None, job_title='Sales Consultant', url='https://www.realestate.com.au/agent/nik-brozinic-2525182?cid={cid}', phone=None, email=None), Lister(id='2221162', name='James Carter', agent_id=None, job_title='Managing Director', url='https://www.realestate.com.au/agent/james-carter-2221162?cid={cid}', phone=None, email=None)]"
138253770,https://www.realestate.com.au/sold/property-apartment-act-braddon-138253770,Braddon,ACT,2612,14/80 Henty Street,"14/80 Henty Street, Braddon, ACT 2612",apartment,1092000,3,2,2,116,m²,-1.0,,IZFYGR,Belle Property Canberra - CANBERRA,0262959911,,27 Jan 2022,"NEW AUCTION DAY - Thursday 27th January at 5.30pm<br/><br/>In arguably one of Canberra's best locations, ""Element"" is located on the City's edge, just a short stroll away from the heart of Braddon and the City with many of Canberra's best food and entertainment options at your convenience plus the light rail on Northbourne Avenue.<br/><br/>Capturing an ideal aspect, and boasting two living areas, the open plan design flows effortlessly with modern living in mind to a 152sqm private courtyard perfect for relaxing and alfresco dining.<br/><br/>Perfectly segregated, the master bedroom with walk in wardrobe and ensuite, also opens out to the courtyard and garden space. The other two bedrooms both have built in wardrobes and access to the second private courtyard. <br/><br/>Light filled interiors, spectacular courtyards and garden, and a premium location makes this Inner City dwelling an excellent proposition for the astute buyer.<br/><br/>* Open plan, living and kitchen area, with additional living space, internal area of 116sqm<br/>* Private 152sqm courtyard with northern aspect, plus second 62sqm courtyard<br/>* Modern kitchen with stone bench tops and stainless steel appliances<br/>* Master bedroom with walk in robe and ensuite, built in robes in other two bedrooms<br/>* Main bathroom with European laundry<br/>* Reverse cycle heating and cooling<br/>* Secure entry and intercom<br/>* Two secure car spaces with internal access <br/>* Boutique block with only 22 apartments<br/>* Walking distance to popular restaurants, cafes and bars, as well as being close to the Canberra Centre, ANU and public transport<br/>* Council Rates $2,302pa , Land Tax $ 2,894pa, Body Corporate $3,855pa (approx.)<br/><br/>Register to Bid<br/>https://auctionslive.com/app/bidder-registration/28V7 <br/> <br/>Watch on the Day <br/>https://widget.auctionslive.com/widget/auctions/view/70405/755<br/><br/>Whilst all care has been taken to ensure accuracy in the preparation of the particulars herein, no warranty can be given, and interested parties must rely on their own enquiries. This business is independently owned and operated by Belle Property Canberra. ABN 95 611 730 806 trading as Belle Property Canberra. ","[Lister(id='1582782', name='Dan McAlpine', agent_id=None, job_title='Principal, Licensed Real Estate Agent & Auctioneer', url='https://www.realestate.com.au/agent/dan-mcalpine-1582782?cid={cid}', phone=None, email=None), Lister(id='1966894', name='Michael Pead', agent_id=None, job_title='Real Estate Agent & Auctioneer', url='https://www.realestate.com.au/agent/michael-pead-1966894?cid={cid}', phone=None, email=None)]"
138092154,https://www.realestate.com.au/sold/property-unit-act-braddon-138092154,Braddon,ACT,2612,28/28 Mort Street,"28/28 Mort Street, Braddon, ACT 2612",unit,475000,1,1,1,50,m²,-1.0,,UCRDEX,McGrath - Canberra,0261238000,,21 Jan 2022,"Conveniently within the heart of Braddon and located in the popular 'No 28' development, this gorgeous one bedroom apartment has been updated with new paint and easy-care flooring in the living areas. <br/><br/>A cut above the rest, this home provides a private outdoor sanctuary in an extended balcony, creating the perfect indoor/outdoor living space. Leave the car at home and walk to work, the home is located within walking distance to Canberra CBD, government offices and local restaurants, bars and cafes. Whether you are an owner occupier or investor, unit 28, in 28 Mort St offers great value now and for many years to come. <br/><br/>- Light-filled and private apartment<br/>- Easy-care floating floors throughout living area<br/>- Electric cooking, dishwasher and movable island bench<br/>- Reverse cycle air conditioning and heating<br/>- Expansive balcony<br/>- European laundry<br/>- Basement parking and storage cage<br/>- Fabulously located close to local cafes and restaurants<br/>- Within walking distance to Canberra CBD<br/>- EER 6<br/>- Living 50sqm plus 23sqm balcony <br/>- Body corporate $1187 p/q  <br/>- Currently leased $460 p/w<br/>","[Lister(id='1512234', name='Suzi Wells', agent_id='e86cd44f-e0ef-41c7-a868-c8c3263c6310', job_title='Partner | Licensed Agent', url='https://www.realestate.com.au/agent/suzi-wells-1512234?cid={cid}', phone=None, email=None)]"
137988258,https://www.realestate.com.au/sold/property-apartment-act-braddon-137988258,Braddon,ACT,2612,18/43 Ipima Street,"18/43 Ipima Street, Braddon, ACT 2612",apartment,453000,1,1,1,60,m²,-1.0,,OANXWT,Independent Our Team - TURNER,0262091723,,21 Jan 2022,"Ideally located in the boutique development 'Radius', this beautifully cared for and updated 1 bedroom apartment conveniently positions you minutes away from the City centre making it walking distance, not driving distance. Located on the 1st level (which is also the top floor) & in prime position on the north corner of the development away from the road, you have fewer neighbours & more natural light, creating a desirable & relaxing atmosphere. <br/><br/>Inside, you first discover the generous open plan living & dining area, overlooked by the full sized kitchen with its stone bench tops, stainless steel appliances & dishwasher. Designed with entertaining in mind, the living area also opens up through double doors onto a generous & very private 26m2 terrace, partly covered with a shade sail & definitely providing more than enough space for having friends around for an afternoon BBQ or pre-drinks before heading into the City.  <br/><br/>The oversized bedroom is privately located at the rear of your apartment & features triple, sliding door, mirrored built in robes & even plenty of room for an extra dresser or maybe a study area. The modern bathroom has all the trimmings including a large shower, there is a separate laundry room & a generous linen cupboard for additional storage space.  <br/><br/>This property is really enhanced by the extra light offered by windows on three sides (not too common in apartment living). The added benefit of ample windows is increasing cross ventilation throughout the unit which is important in Summer & Winter. In the restricted entry basement, you get an allocated car spot (with no neighbours either side) & a lockable & fully enclosed storage room.  <br/><br/>Perfectly positioned on the fringe of the City, making it more affordable, this unit is available with vacant possession to suit live in owners or investors who want to secure a tenant of their choice with a full 12 month lease. Flexible settlement conditions available.  <br/><br/>Please send us an email to get a copy of the digital brochure containing the contract and explanation of our friendly sales system.  <br/><br/>Features Overview: <br/>-Boutique development of only 18 apartments <br/>-Located on the 1st level (top floor) on the north side of the development for privacy <br/>-Huge 26m2, sail covered terrace with elevated outlook <br/>-Full size kitchen with stone bench tops, stainless steel appliances & dishwasher <br/>-Generous bedroom size with an entire wall of sliding door, built in robe space <br/>-Bathroom with large shower, toilet, vanity and new heat lamp <br/>-Separate laundry room with dryer included & generous linen cupboard <br/>-New paint and new carpets throughout <br/>-Convenient location within walking distance to the City <br/>-Pet friendly complex (subject to body corporate notification) <br/>-Single allocated car space (no car spaces either side) and lockable storage room in basement <br/>-Vacant possession and early access prior to settlement if you need to move in faster <br/>-Flexible settlement options if you have another property you want, or need, to sell <br/><br/>The numbers: <br/>Living area: 60m2 <br/>Size of terrace: 26m2 <br/>Level in building: 2 of 2 <br/>Age of unit: 14 years (Built 2007)  <br/>General Rates: $1,899 p.a. <br/>Water & sewerage rates: $670 p.a.  <br/>Land Tax (investors only): $2,388 p.a. <br/>Strata levies: $5,112 p.a <br/>Rental estimate: $500 /week  <br/>Energy efficiency rating (EER): 6 stars <br/>Name of development: Radius <br/>Number of units in development: 18 <br/>Builder/developer: B&T Homes <br/>Strata manager: Independent Strata – Phone 62091515 <br/>Units plan number: 3001 <br/>Admin fund for development: $11,918 <br/>Sinking fund for development: $37,336 <br/> <br/>Offer Process: <br/>-To help buyers on value, we advertise a guide price which your offer must exceed.  <br/>-Offers can be conditional (subject to finance/valuation) or unconditional and on a contract with a waiver of the cooling off (preferred) <br/>-We have a solicitor pre-allocated to provide a FREE contract review and section 17 if required, just request the digital brochure via email <br/>-All offers are confidential & will not disclosed to other buyers for privacy purposes.  <br/>-A 5% deposit is acceptable via eft just prior to exchange of contracts. ","[Lister(id='2642498', name='Mark Larmer And Aaron Lewis', agent_id='8dfd01a4-e694-4ed1-ac1f-f5b475c3f3a4', job_title='Licensed Agent, Auctioneer & Senior Sales Consultant', url='https://www.realestate.com.au/agent/mark-larmer-and-aaron-lewis-2642498?cid={cid}', phone=None, email=None)]"
137969410,https://www.realestate.com.au/sold/property-apartment-act-braddon-137969410,Braddon,ACT,2612,7/43 Ipima Street,"7/43 Ipima Street, Braddon, ACT 2612",apartment,429000,1,1,1,,,-1.0,,QXCDWD,HOME.BYHOLLY - DICKSON,0491850701,,19 Jan 2022,"#soldbysally #soldbyash $429,000<br/><br/>In a town like Canberra, location is everything. It can determine your lifestyle, your interests, and it can even influence the food you eat. Canberra locals know that living centrally is priceless, and there are very few locations that offer the best of city living, while keeping the vibe effortlessly cool.<br/> <br/>Being close to the action, yet grounded within a local community is a balance not often achieved, but 7/43 Ipima Street certainly ticks both boxes.<br/> <br/>On a quiet, leafy street and inside a boutique apartment block (there are only 19 apartments in the complex), you'll find this lovely light filled, one bedroom apartment. Making an efficient use of space, this north facing unit is unlike many of the high-rise apartments in the area. This property feels less like a hotel, and more like a home.<br/> <br/>This gorgeous, light and airy modern apartment is less than a 5 minute drive to the award-winning Ainslie IGA (who proudly boasts the largest cheese selection in the ACT). And a short walk will take you to the centre of Braddon-the hippest suburb of Canberra, where you'll find the best bars, coffee shops and retail stores. <br/> <br/>Nearby Haig Park has been revitalised and is now the perfect place to unpack a picnic and attend one of the many community events throughout the year, including the popular, Haig Park Village Farmer's Markets every Sunday.<br/> <br/>Its proximity to Canberra City and Northbourne Avenue makes for easy access to other suburbs and central shopping hubs. Plus, it will take you less than 10 minutes to ride your scooter to the ANU.<br/> <br/>If getting amongst nature (before an awesome Braddon breakfast) is your thing, the famous Mt Ainslie ascent is easily accessible.<br/> <br/>Don't miss this great opportunity to purchase an excellent property without the hassle of finding a tenant. This unit is currently tenanted until October 2022.<br/><br/>features<br/>.light-filled, first floor, contemporary city apartment - 56m2<br/>.north/east facing, generously sized courtyard - 10m2<br/>.modern, open plan kitchen with stone benchtops, dishwasher, electric cooktop<br/>.spacious bedroom with large built in wardrobe<br/>.functional combined bathroom and laundry<br/>.reverse cycle heating and cooling<br/>.secure underground carpark with storage room<br/>.ultra convenient location, access to Light Rail, walk to vibrant Braddon cafes, easy access to City, Australian National University and Dickson<br/>.quiet, leafy street just minutes walk to Braddon<br/><br/>.living area: 56m2 + 10m2 balcony<br/>.rental income $465 per week - fixed term until October 2022<br/>.rates: $1,716 per annum (approx)<br/>.land tax: $2,240 per annum (approx)<br/>.body corp $1,155 per quarter (approx)<br/>.EER: 6.0","[Lister(id='1986858', name='Sally Strang', agent_id='098d4651-dc71-4c89-ba08-870c997347d0', job_title='Residential Property Specialist', url='https://www.realestate.com.au/agent/sally-strang-1986858?cid={cid}', phone=None, email=None), Lister(id='2028262', name='Ash Costello', agent_id='a85c7d0c-e40f-4988-90ad-fcaf70ce1244', job_title='Residential Property Specialist', url='https://www.realestate.com.au/agent/ash-costello-2028262?cid={cid}', phone=None, email=None)]"
138065454,https://www.realestate.com.au/sold/property-apartment-act-braddon-138065454,Braddon,ACT,2612,2/28 Torrens Street,"2/28 Torrens Street, Braddon, ACT 2612",apartment,480000,1,1,1,,,-1.0,,QXCDWD,HOME.BYHOLLY - DICKSON,0491850701,,18 Jan 2022,"#soldbyholly $480,000<br/><br/>It's hard to not get caught up in the Braddon lifestyle vibe.<br/><br/>The buzz of people is everywhere. Spilling out from yoga, Pilates and Hiit in the early hours, coffee shops coming to life as the sun rises over the Mount Ainslie Region and Lonsdale Street a melting pot of boutique shopping, food and wine, the streets are alive from dawn til dark.<br/><br/>Activations in the rejuvenated Haig Park, village feel Sunday markets, street side tables and chairs to gather with friends, or meeting up for a game basketball at back of no.23 all anchor the community spirit of Braddon. <br/><br/>The Dowling an established complex, is one of the earlier builds on Torrens Street when Braddon was finding its new identity as an emerging cosmopolitan inner city precinct. Benefitting from 'old school' design of generous common areas, internal gardens and solid construction, the lifestyle on offer is enhanced with swimming pool and tennis court.<br/><br/>The leafy tree lined streets and quiet position at the rear of the complex delivers a larger style one bedroom apartment which offers a generous floor plan and modern amenity. The open plan living looks over the sunny balcony terrace, a beautiful aspect to the east, the large expanse of glass serves to bring the outdoors in. The separation of living and bedroom with newly renovated en suite bathroom, is just one of the many attributes of this apartment which is also remarkable for its quiet location and leafy outlooks in the Braddon Precinct.<br/><br/>.features<br/>.highly desirable braddon location <br/>.light filled one bedroom apartment <br/>.beautifully appointed, renovated bathroom<br/>.renovated laundry with timber benchtop<br/>.Open plan living and dining<br/>.private outdoor balcony space <br/>.kitchen with granite benchtop, dishwasher and electric wall oven<br/>.reverse cycle split system air conditioning<br/>.intercom system <br/>.tennis court, gym and indoor swimming pool in complex<br/>.underground, off street parking space  <br/>.premium location in Braddon with easy access to coffee, dining, shopping, CBD, ANU and Haig Park<br/>.very close proximity to public transport, amenities, mount Ainslie walking and running trails, local shops and schools<br/><br/>EER: 6.0<br/>Living size: 64 m2 (approx.)<br/>Land rates: $1,973.43 pa (approx.)<br/>Body corp. $1,126.05 pq (approx.)<br/>Year built: 1996 (approx.)<br/>","[Lister(id='1606254', name='Holly Komorowski', agent_id='c9c187cd-780c-4517-af58-7c348d1407c5', job_title='Residential Property Specialist', url='https://www.realestate.com.au/agent/holly-komorowski-1606254?cid={cid}', phone=None, email=None)]"
